First Crack Detection Results
======================================================================

Audio file: data/raw/25-10-19_1103-costarica-hermosa-5.alog.wav
Total windows: 628
Threshold: 0.5
Window: 5.0s, Overlap: 80%
Min event duration: 2.0s
Pop confirmation: at least 3 pops within 30.0s; min gap merge 10.0s

Detected Events: 2
----------------------------------------------------------------------

Event 1:
  Start: 435.97s
  End: 471.97s
  Duration: 36.00s
  Confidence: 0.9990

Event 2:
  Start: 501.97s
  End: 621.96s
  Duration: 119.99s
  Confidence: 0.9999


======================================================================
All Window Predictions:
----------------------------------------------------------------------
Window 307:  306.98s -  316.98s | Prob: 0.0001
Window 308:  307.98s -  317.98s | Prob: 0.0002
Window 309:  308.98s -  318.98s | Prob: 0.0002
Window 310:  309.98s -  319.98s | Prob: 0.0002
Window 311:  310.98s -  320.98s | Prob: 0.0002
Window 312:  311.98s -  321.98s | Prob: 0.0002
Window 313:  312.98s -  322.98s | Prob: 0.0001
Window 314:  313.98s -  323.98s | Prob: 0.0001
Window 315:  314.98s -  324.98s | Prob: 0.0001
Window 316:  315.98s -  325.98s | Prob: 0.0001
Window 317:  316.98s -  326.98s | Prob: 0.0001
Window 318:  317.98s -  327.98s | Prob: 0.0001
Window 319:  318.98s -  328.98s | Prob: 0.0001
Window 320:  319.98s -  329.98s | Prob: 0.0001
Window 321:  320.98s -  330.98s | Prob: 0.0001
Window 322:  321.98s -  331.98s | Prob: 0.0001
Window 323:  322.98s -  332.98s | Prob: 0.0001
Window 324:  323.98s -  333.98s | Prob: 0.0001
Window 325:  324.98s -  334.98s | Prob: 0.0002
Window 326:  325.98s -  335.98s | Prob: 0.0002
Window 327:  326.98s -  336.98s | Prob: 0.0001
Window 328:  327.98s -  337.98s | Prob: 0.0001
Window 329:  328.98s -  338.98s | Prob: 0.0001
Window 330:  329.98s -  339.98s | Prob: 0.0002
Window 331:  330.98s -  340.98s | Prob: 0.0002
Window 332:  331.98s -  341.98s | Prob: 0.0001
Window 333:  332.98s -  342.98s | Prob: 0.0002
Window 334:  333.98s -  343.98s | Prob: 0.0001
Window 335:  334.98s -  344.98s | Prob: 0.0001
Window 336:  335.98s -  345.98s | Prob: 0.0001
Window 337:  336.98s -  346.98s | Prob: 0.0001
Window 338:  337.98s -  347.98s | Prob: 0.0001
Window 339:  338.98s -  348.98s | Prob: 0.0001
Window 340:  339.98s -  349.98s | Prob: 0.0001
Window 341:  340.98s -  350.98s | Prob: 0.0001
Window 342:  341.98s -  351.98s | Prob: 0.0001
Window 343:  342.98s -  352.98s | Prob: 0.0001
Window 344:  343.98s -  353.98s | Prob: 0.0001
Window 345:  344.98s -  354.98s | Prob: 0.0001
Window 346:  345.98s -  355.98s | Prob: 0.0001
Window 347:  346.98s -  356.98s | Prob: 0.0002
Window 348:  347.98s -  357.98s | Prob: 0.0001
Window 349:  348.98s -  358.98s | Prob: 0.0002
Window 350:  349.98s -  359.98s | Prob: 0.0002
Window 351:  350.98s -  360.98s | Prob: 0.0001
Window 352:  351.98s -  361.98s | Prob: 0.0001
Window 353:  352.98s -  362.98s | Prob: 0.0001
Window 354:  353.98s -  363.98s | Prob: 0.0001
Window 355:  354.98s -  364.98s | Prob: 0.0001
Window 356:  355.98s -  365.98s | Prob: 0.0001
Window 357:  356.98s -  366.98s | Prob: 0.0001
Window 358:  357.98s -  367.98s | Prob: 0.0002
Window 359:  358.98s -  368.98s | Prob: 0.0002
Window 360:  359.98s -  369.98s | Prob: 0.0002
Window 361:  360.98s -  370.98s | Prob: 0.0002
Window 362:  361.98s -  371.98s | Prob: 0.0002
Window 363:  362.98s -  372.98s | Prob: 0.0002
Window 364:  363.98s -  373.98s | Prob: 0.0002
Window 365:  364.98s -  374.98s | Prob: 0.0002
Window 366:  365.98s -  375.98s | Prob: 0.0002
Window 367:  366.98s -  376.98s | Prob: 0.0001
Window 368:  367.98s -  377.98s | Prob: 0.0002
Window 369:  368.98s -  378.98s | Prob: 0.0001
Window 370:  369.98s -  379.98s | Prob: 0.0002
Window 371:  370.98s -  380.98s | Prob: 0.0001
Window 372:  371.98s -  381.98s | Prob: 0.0001
Window 373:  372.98s -  382.98s | Prob: 0.0001
Window 374:  373.98s -  383.98s | Prob: 0.0001
Window 375:  374.98s -  384.98s | Prob: 0.0001
Window 376:  375.98s -  385.98s | Prob: 0.0001
Window 377:  376.98s -  386.98s | Prob: 0.0001
Window 378:  377.98s -  387.98s | Prob: 0.0001
Window 379:  378.98s -  388.98s | Prob: 0.0001
Window 380:  379.98s -  389.98s | Prob: 0.0001
Window 381:  380.98s -  390.98s | Prob: 0.0002
Window 382:  381.98s -  391.98s | Prob: 0.0002
Window 383:  382.98s -  392.98s | Prob: 0.0002
Window 384:  383.98s -  393.98s | Prob: 0.0002
Window 385:  384.98s -  394.98s | Prob: 0.0002
Window 386:  385.98s -  395.98s | Prob: 0.0001
Window 387:  386.98s -  396.98s | Prob: 0.0001
